No,Title_,City_district,Place_rooms,Price,House area,Rooms No.,Floors,Contruction,Installation,Heating,Year of construction,Land area (a)
114,Namas pardavimui,Vilniaus r. sav.,"Mickūnai, Kranto g. id:928922 4 kmb.",140000,122.0,4,1,Mūrinis,Įrengtas,Oras-vanduo,2023,45.45
115,Namas pardavimui,Panevėžys,"Kniaudiškiai, Pagojo g. id:928347 4 kmb.",380000,212.0,4,2,Plytinis,Naujas,Dujinis,2012,7.0
116,Namas pardavimui,Vilnius,"Verkiai, Vanaginės Sodų 2-oji g. id:928920",110000,102.0,4,2,Plytinis,,Dujinis,1985,6.86
117,Namas pardavimui,Vilnius,"Aukštieji Paneriai, Atokaitos g. id:928912 4 kmb.",194000,124.0,4,1,Plytinis,,,2024,7.36
118,Namas pardavimui,Vilnius,"Salininkai, Sakalaičių g. id:928911 4 kmb.",447000,226.0,4,2,Plytinis,,"Dujinis, Geoterminis",2016,9.0
119,Namas pardavimui,Šiauliai,"Zokniai, Radviliškio g. id:904397 4 kmb.",99000,124.0,4,1,Plytinis,,Dujinis,2019,30.0
120,Namo Dalis pardavimui,Vilnius,"Bajorai, Žiedų g. id:927786 4 kmb.",224000,137.0,4,1,,,,2024,8.93
121,Sodyba pardavimui,Vilnius,"Valakampiai, Pasakų g. id:928910 7 kmb.",1945450,533.0,7,3,,,,2007,13.3
122,Namas pardavimui,Klaipėdos r. sav.,"Svencelė, Vėjų g. id:925087 5 kmb.",1250000,170.0,5,2,Mūrinis,Įrengtas,Oras-vanduo,2022,6.0
123,Kotedžas pardavimui,Klaipėda,"Melnragė, Nėgių g. id:928124 5 kmb.",363000,205.0,5,3,Mūrinis,Įrengtas,"Dujinis, Oras-oras",2006,3.0
124,Namas pardavimui,Vilnius,"Galgiai, Rasakilų g. id:914244 4 kmb.",195000,132.0,4,2,Mūrinis,Dalinė apdaila,Oras-vanduo,2021,4.0
125,Namas pardavimui,Klaipėdos r. sav.,"Ketvergiai, Tvenkinio g. id:853438 4 kmb.",146000,80.0,4,1,Mūrinis,Naujas,Oras-vanduo,2023,45.45
126,Namas pardavimui,Klaipėdos r. sav.,"Radailiai, Santakos g. id:923282 8 kmb.",540000,322.48,8,2,Mūrinis,Įrengtas,Geoterminis,2012,296.0
127,Namas pardavimui,Klaipėdos r. sav.,"Slengiai, Pietryčių g. id:927085 2 kmb.",262000,136.0,2,2,Mūrinis,Įrengtas,Dujinis,2019,6.0
128,Namas pardavimui,Klaipėda,"Mažasis Kaimelis, Baltijos 3-oji g. id:928158 5 kmb.",285000,130.0,5,2,Mūrinis,Įrengtas,Oras-vanduo,2012,5.0
129,Kotedžas pardavimui,Vilniaus r. sav.,"Pakalniškės, Paparčių g. id:926743 4 kmb.",330000,112.0,4,1,Plytinis,Naujas,,2023,8.0
130,Namas pardavimui,Klaipėdos r. sav.,"Rusliai, Hugo Šojaus g. id:928905 5 kmb.",299000,193.0,5,1,Plytinis,,,2020,220.0
131,Sodyba pardavimui,Klaipėdos r. sav.,"Vėžaičiai, Perkūnų g. id:928893 6 kmb.",75000,226.0,6,1,Karkasinis,Reikia remonto,,2024,50.0
132,Kotedžas pardavimui,Klaipėdos r. sav.,"Normantai, Pilsoto g. id:928884 4 kmb.",145000,121.0,4,2,Plytinis,Naujas,Dujinis,2006,6.08
133,Kotedžas pardavimui,Klaipėdos r. sav.,"Slengiai, Juknaičių g. id:928883 4 kmb.",200000,103.0,4,2,Karkasinis,Naujas,,2024,3.6
134,Namas pardavimui,Klaipėdos r. sav.,"Klemiškė II, Smeltaitės g. id:928882 5 kmb.",340000,156.0,5,1,Plytinis,Naujas,Dujinis,2018,9.5
135,Namas pardavimui,Klaipėdos r. sav.,"Gargždai, Kvietinių g. id:928881 3 kmb.",84000,70.0,3,2,Plytinis,,"Dujinis, Kietu kuru",1966,15.45
136,Namas pardavimui,Klaipėdos r. sav.,"Trušeliai, Karališkių g. id:928877 4 kmb.",225000,108.0,4,1,Plytinis,Naujas,,2023,5.8
137,Namas pardavimui,Klaipėdos r. sav.,"Gargždai, Treniotos g. id:928876 7 kmb.",270000,229.0,7,2,Plytinis,Naujas,Dujinis,2010,16.0
138,Namas pardavimui,Klaipėdos r. sav.,"Jonušai, Durpyno g. id:928873 6 kmb.",265000,165.0,6,2,Plytinis,Naujas,,2013,10.88
139,Namas pardavimui,Klaipėda,"Tauralaukis, Tauralaukio g. id:928872 5 kmb.",315000,132.0,5,2,Plytinis,Naujas,Dujinis,2009,45.45
140,Namas pardavimui,Klaipėdos r. sav.,"Mazūriškiai, Naudvariškių g. id:928850 4 kmb.",124000,124.0,4,2,Plytinis,Naujas,,2023,5.5
141,Namas pardavimui,Klaipėdos r. sav.,"Trušeliai, Smeltaitės g. id:928847 5 kmb.",194000,198.0,5,1,Plytinis,Naujas,,2023,20.0
142,Namas pardavimui,Klaipėdos r. sav.,"Baukštininkai, Žiemos g. id:928845 3 kmb.",164000,80.0,3,1,Plytinis,Naujas,,2022,9.4
143,Namas pardavimui,Plungės r. sav.,"Plungė, J. Tumo-Vaižganto g. id:928843 9 kmb.",79000,203.0,9,1,,,Kietu kuru,1904,16.48
144,Namas pardavimui,Klaipėda,"Tauralaukis, Vėjo g. id:928842 7 kmb.",250000,304.0,7,1,Plytinis,Naujas,Kietu kuru,2008,15.0
145,Namas pardavimui,Klaipėdos r. sav.,"Kuliai, Pakrantės g. id:928837 5 kmb.",135000,195.0,5,2,Plytinis,Naujas,,2023,6.26
146,Sodyba pardavimui,Klaipėdos r. sav.,"Vaiteliai, Lakštingalų al. id:928835 4 kmb.",185000,190.0,4,2,Plytinis,Naujas,,2011,29.78
147,Namas pardavimui,Klaipėdos r. sav.,"Zeigiai, Liudviko Stulpino g. id:928827 4 kmb.",250000,81.0,4,1,Plytinis,Naujas,Dujinis,2022,20.83
148,Namas pardavimui,Klaipėda,"Tauralaukis, Tauro 1-oji g. id:928826 5 kmb.",355000,146.0,5,1,Plytinis,Naujas,Dujinis,2020,7.35
149,Sodyba pardavimui,Kretingos r. sav.,"Senoji Įpiltis, Užalkio g. id:928825 6 kmb.",250000,194.0,6,2,Plytinis,Naujas,,2005,194.0
150,Sodyba pardavimui,Klaipėdos r. sav.,"Greičiūnai, Butkų Juzės g. id:928824 5 kmb.",275000,134.0,5,1,Plytinis,Naujas,Elektrinis,2013,105.0
151,Namas pardavimui,Klaipėda,"Smeltė, Jurbarko g. id:928823 3 kmb.",195000,108.0,3,2,Karkasinis,Naujas,Dujinis,2020,6.0
152,Sodyba pardavimui,Skuodo r. sav.,"Lenkimai, Menkinės g. id:928822 4 kmb.",65000,100.0,4,1,,,Kietu kuru,1888,375.0
153,Namas pardavimui,Klaipėdos r. sav.,"Slengiai, Aulaukio g. id:928821 5 kmb.",225000,130.0,5,2,Plytinis,Naujas,,2015,7.15
154,Sodyba pardavimui,Šventoji,Audronašų g. id:928820 15 kmb.,350000,230.0,15,1,Medinis,Naujas,,2016,12.0
155,Kotedžas pardavimui,Klaipėdos r. sav.,"Mazūriškiai, Stanaičių g. id:928818 6 kmb.",265000,142.0,6,2,Karkasinis,Naujas,Dujinis,2021,5.38
156,Sodyba pardavimui,Klaipėdos r. sav.,"Martinai, Derliaus g. id:928817 4 kmb.",299999,114.0,4,2,Plytinis,Naujas,,2018,103.0
157,Namas pardavimui,Klaipėdos r. sav.,"Leliai, Lelių g. id:928816 5 kmb.",280000,157.0,5,1,Karkasinis,Naujas,,2023,15.5
158,Sodyba pardavimui,Klaipėdos r. sav.,"Priekulė, Pamarių g. id:928815 4 kmb.",90000,137.0,4,2,Plytinis,Naujas,Kietu kuru,1963,17.77
159,Namas pardavimui,Klaipėdos r. sav.,"Lėbartai, Kęstučio g. id:928797 6 kmb.",220000,149.0,6,2,Plytinis,Naujas,Elektrinis,2006,20.0
160,Sodyba pardavimui,Kretingos r. sav.,"Darbėnai, Vilties g. id:928795 4 kmb.",89000,140.0,4,2,Plytinis,Naujas,Kietu kuru,1988,25.0
161,Namas pardavimui,Klaipėda,"Melnragė, Molo g. id:928792 6 kmb.",210000,230.0,6,2,Plytinis,Naujas,Dujinis,2023,7.7
162,Namas pardavimui,Klaipėda,"Joniškė, Jotvingių g. id:928788 6 kmb.",170000,103.0,6,2,Plytinis,,Dujinis,1959,5.5
163,Kotedžas pardavimui,Klaipėdos r. sav.,"Stragnai II, Šauklių g. id:928786 5 kmb.",129000,160.0,5,2,Plytinis,Naujas,Elektrinis,2015,14.0
164,Namas pardavimui,Skuodo r. sav.,"Lyksūdė, Malūno g. id:928784 14 kmb.",200000,315.0,14,2,Plytinis,,,1830,2000.0
